Order No,Order Type,Entry Type,Order Date,Config ID,Is MTO,Createts,Draft Order Flag
340930924014,PAPERORDER,CCA,2024-04-02 16:04:11,3312180-V1-OB-144382,null,2024-04-02 16:04:11,Y
340930924014,PAPERORDER,CCA,2024-04-02 16:04:11,8933295-V1-OB-8066786,null,2024-04-02 16:04:11,Y
341010895140,PHONEORDER,CCA,2024-05-23 08:47:37,5957877-V1-UN-2700K-6373608,null,2024-04-10 10:42:36,Y
341172885889,PHONEORDER,CCA,2024-04-26 08:05:39,2403585-V1-CP-36-4858896,Y,2024-04-26 08:06:22,Y
341172885889,PHONEORDER,CCA,2024-04-26 08:05:39,9274079-V1-BD-35-1094000,Y,2024-04-26 08:06:22,Y
341300761069,PHONEORDER,CCA,2024-05-09 13:47:17,3428032-V1-GT-CW-120-3000K,null,2024-05-09 13:47:18,Y
341310257108,PHONEORDER,CCA,2024-05-10 16:22:38,2502597-V1-OL-30,null,2024-05-10 16:22:39,Y
341310271224,PHONEORDER,CCA,2024-05-10 12:38:03,1972903-V1-BN-1531050,null,2024-05-10 12:38:04,Y
341310698772,PHONEORDER,CCA,2024-05-10 11:09:05,5601700-V1-OB-LQ-24,null,2024-05-10 11:09:05,Y
341310948862,PHONEORDER,CCA,2024-05-22 08:20:53,4489502-V1-CP-DM,null,2024-05-10 14:39:30,Y
341310948862,PHONEORDER,CCA,2024-05-22 08:20:53,5404487-V1-OB-OB-275-ST,null,2024-05-10 14:39:30,Y
341340136330,PHONEORDER,CCA,2024-05-13 07:58:07,3312180-V1-UN-7463067,null,2024-05-13 07:58:08,Y
341340327137,PAPERORDER,CCA,2024-05-13 09:23:00,3982229-V1-CP-34,null,2024-05-13 09:23:00,Y
341340327137,PAPERORDER,CCA,2024-05-13 09:23:00,8348392-V1-CP-30-366242,null,2024-05-13 09:23:00,Y
341343064471,PHONEORDER,CCA,2024-05-13 14:13:39,15181-V1-BA-3595739,Y,2024-05-13 14:15:30,Y
341350003644,PHONEORDER,CCA,2024-05-14 11:22:35,6780921-V1-OB-74-3320123,null,2024-05-14 11:22:35,Y
341350214621,PHONEORDER,CCA,2024-05-14 12:28:33,9274079-V1-PN-35-2021162,null,2024-05-14 12:28:33,Y
341350258826,PHONEORDER,CCA,2024-05-14 11:26:46,9384596-V1-OB-42-4253859,null,2024-05-14 11:26:47,Y
341350267694,PHONEORDER,CCA,2024-05-14 15:14:55,7930799-V1-BA-30-2827030,null,2024-05-14 15:14:57,Y
